i m so sorry .,je suis tellement desolee !
i m going to teach you some karate .,je vais vous enseigner un peu de karate .
you re too skinny .,vous etes trop maigrichon .
i m sorry if i disturbed you .,je suis desolee si je vous ai deranges .
i am glad to accept your invitation .,je suis heureux d accepter votre invitation .
he is on board the ship .,il est a bord du bateau .
i am not kidding .,je ne blague pas .
you re in luck .,vous etes veinard .
you re no singer .,vous n etes pas chanteuse .
i m older than your brother .,je suis plus vieux que ton frere .
he s a loose cannon .,c est un electron libre .
we re in love .,nous sommes amoureux .
we re losing .,nous perdons .
you are the tallest of us all .,tu es le plus grand de nous tous .
you re very good .,vous etes fort bonnes .
i m not ready to fight .,je ne suis pas prete a me battre .
i m done with you .,j en ai fini avec vous .
you re very astute .,vous etes tres astucieuse .
i m tough .,je suis dure a cuire .
i m not your husband anymore .,je ne suis plus votre epoux .
you re so sweet .,vous etes si gentil !
i m voting no .,je vote non .
he is watching tv .,il regarde la tv .
you aren t looking .,vous ne regardez pas .
you re in big trouble .,vous avez de gros problemes .
you re courteous .,tu es courtois .
they are actors .,ils sont acteurs .
you re resourceful .,vous etes plein de ressources .
i m going to be late .,je serai en retard .
you re opportunistic .,tu es une opportuniste .
you re all happy .,vous etes toutes satisfaites .
i m glad i hired you .,je suis content de t avoir engagee .
i m not scared of you anymore .,je n ai plus peur de toi .
i am confronted with a difficult problem .,je suis confronte a un probleme difficile .
she s lost her car key .,elle a perdu la cle de sa voiture .
i m your friend .,je suis votre amie .
he is something of a celebrity .,il est une sorte de celebrite .
i m watching tv .,je suis en train de regarder la television .
he s such a jerk .,c est un tel pauvre type !
they aren t going to help tom .,ils ne vont pas aider tom .
i m getting married next sunday .,je me marie dimanche prochain .
she s pregnant with twins .,elle est enceinte de jumeaux .
i m fearless .,je suis intrepide .
i m glad i invited you .,je suis heureuse de t avoir invitee .
i m methodical .,je suis methodique .
i m not racist .,je ne suis pas raciste .
he s cleaning his rifle .,il nettoie son fusil .
we are anxious for their safety .,nous sommes inquiets pour leur securite .
i m used to working all night .,je suis accoutume a travailler toute la nuit .
you re very timid .,vous etes tres timides .
he isn t happy at all .,il n est pas du tout content .
i m very sleepy now .,j ai tres sommeil maintenant .
i m economically independent of my parents .,je suis financierement independant de mes parents .
he s in danger .,il est en danger .
i m sick of your complaints .,j en ai assez de vos recriminations .
you re obnoxious .,vous etes odieux .
you re the reason i came .,c est pour vous que je suis venu .
i m going shopping tomorrow .,je vais faire des courses demain .
i m going to rewrite this report .,je vais reecrire ce rapport .
you re big .,vous etes grands .
i am going down the stairs .,je descends l escalier .
he is an office worker .,c est un employe de bureau .
i m glad you came over .,je me rejouis que vous soyez venue .
we re all hungry .,nous avons tous faim .
you re never going to believe this .,tu ne vas jamais le croire .
he s enjoying himself .,il s amuse .
she is distantly related to him .,elle lui est vaguement apparentee .
you are always finding fault with me .,vous avez toujours quelque chose a me reprocher .
you re very good .,vous etes fort bons .
i m used to it .,j y suis habitue .
i m done with it .,j en ai fini .
i m in way over my head .,je ne sais pas quoi faire .
you re not cooperating .,tu ne cooperes pas .
i m doing the right thing .,je fais le bon choix .
i m happy with what i ve got .,je suis heureux avec ce que j ai .
they re not all criminals .,ce ne sont pas tous des criminels .
she is quiet .,elle est tranquille .
i m hardworking .,je suis applique .
you re the oldest .,c est toi le plus vieux .
you re starting to scare me .,tu commences a me faire peur .
we re not going there .,nous n y allons pas .
you re in danger .,vous etes en danger .
you re sneaky .,tu es sournoise .
we re all sure of that .,nous en sommes tous certains .
i m glad i hired you .,je suis heureux de vous avoir engages .
i m not thinking about it .,je n y pense pas .
she is bad mannered .,elle est mal elevee .
we re going south .,nous nous dirigeons au sud .
i m not busy anymore .,je ne suis plus occupee .
i m trying to get my children back .,j essaye de recuperer mes enfants .
he is off duty today .,il n est pas en service aujourd hui .
i m a black belt in karate .,je suis ceinture noire de karate .
i am your friend right ?,je suis bien ton ami non ?
you re in a strange mood today .,tu es d une humeur etrange aujourd hui .
we re busy .,nous sommes occupees .
i m stubborn .,je suis obstine .
i m not done with you .,je n en ai pas fini avec toi .
you re bright .,tu es brillant .
i am at home .,je suis a la maison .
she s always complaining about the food .,elle se plaint toujours de la nourriture .
you re very funny .,vous etes tres marrante .
i m a japanese teacher .,je suis un professeur de japonais .
i m so embarrassed .,je suis tellement embarrassee .
i m going to america this summer .,je vais en amerique cet ete .
you re taller than i am .,vous etes plus grande que moi .
we re handling it .,nous sommes en train de nous en charger .
they are both good .,elles sont bonnes toutes les deux .
i m always happy .,je suis toujours contente .
he s handsome and charming .,il est beau et a du charme .
we re not ready for this .,nous n y sommes pas prets .
i m resilient .,je suis endurante .
they are all very happy .,ils sont tous tres heureux .
they re all guilty .,elles sont toutes coupables .
i m just tired .,je suis seulement fatigue .
he is not in .,il n est pas a l interieur .
i m sorry if i disturbed you .,je suis desole si je t ai derangee .
you re doing it right .,vous le faites correctement .
we re all scared .,nous avons toutes peur .
you re very timid .,vous etes fort craintives .
you re not satisfied are you ?,tu n es pas content si ?
i am from england .,je viens d angleterre .
you are too young to travel alone .,vous etes trop jeunes pour voyager seules .
i m not good enough for you .,je ne suis pas assez bonne pour toi .
i m not sure about that .,je n en suis pas sur .
you re shy aren t you ?,tu es timide n est ce pas ?
i m not at all busy .,je ne suis pas occupee du tout .
i m sick of english .,je n en peux plus de l anglais .
i m not about to ask him .,je ne suis pas la de lui demander .
he is eight .,il a huit ans .
she s good at tennis .,elle est bonne en tennis .
we re nearly out of time .,il ne nous reste presque plus de temps .
i m a natural blonde .,je suis d un blond naturel .
i m going to cook for you .,je vais cuisiner pour vous .
he is digging his own grave .,il creuse sa propre tombe .
you re hiding something aren t you ?,tu me caches quelque chose toi .
he is old enough to travel alone .,il est assez grand pour voyager seul .
she is an appalling cook .,elle est affreusement mauvaise en cuisine .
i am going abroad this summer .,je vais a l etranger cet ete .
you re out of control .,vous etes hors de controle .
he s washing your car .,il lave votre voiture .
i am through with my work .,j en ai fini avec mon travail .
you re all alone .,vous etes tout seul .
you re the oldest .,vous etes la plus vieille .
he s brighter than they are .,il est plus intelligent qu eux .
he s a talented young director .,c est un jeune directeur plein de talent .
you re very smart .,tu es tres intelligente .
i am undressing .,je me deshabille .
he is not interested in art at all .,il ne porte aucun interet a l art .
i am tired of reading .,je suis fatigue de lire .
i m learning so much from you .,j apprends tant de toi .
you re not the only woman here .,vous n etes pas la seule femme ici .
i am hers and she is mine .,je suis sienne et elle est mienne .
we re not convinced yet .,nous n en sommes pas encore convaincus .
you re very understanding .,vous etes tres comprehensives .
we re both fine .,nous allons bien toutes les deux .
you re safe .,tu es sauf .
you are a teacher .,tu es enseignant .
you re touching me .,vous me touchez .
you re not very tidy .,vous n etes pas tres ordonnee .
you re ambitious .,tu es ambitieuse .
i m going bald .,je deviens chauve .
they re all fake .,elles sont toutes fausses .
we re going to be working late .,nous allons travailler tard .
i m not available right now .,je ne suis pas libre tout de suite .
he s wet .,il est mouille .
i m glad to hear that .,c est bien .
i am thirsty .,j ai soif .
i m just being honest .,je suis simplement franc .
we re under attack .,nous sommes attaques .
i m not afraid to die .,je n ai pas peur de mourir .
i m being held hostage .,je suis retenue en otage .
they re about to leave .,ils sont sur le point de partir .
he s a computer nerd .,c est un informaticien boutonneux .
they re special .,elles sont speciales .
she s pregnant .,elle attend famille .
they re brave .,ils n ont pas froid aux yeux .
i m being paid to do this .,on me paie pour faire ca .
he is tired from overwork .,il est fatigue a cause du surmenage .
i m armed .,je suis arme .
i m sorry to bother you so often .,je suis desolee de t ennuyer si souvent .
she is able to sing very well .,elle sait tres bien chanter .
she is dark skinned .,elle a la peau noire .
i m looking forward to seeing you dance .,je me rejouis de vous voir danser .
you re so picky .,vous etes tellement difficiles !
he s broke .,il est fauche .
i m listening to bjork s latest song .,j ecoute la derniere chanson de bjork .
you re psychic .,tu es voyant .
she s sitting on the bench .,elle est assise sur le banc .
i m not busy .,je ne suis pas occupe .
